,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
speech,13,19,23,24,17,22,14,18,21,7,15,5,20,4,8,1,3,16,6,10,9,2,11,2,12
stamps,8,6,7,25,10,18,4,16,3,17,5,20,9,24,22,21,19,12,23,15,14,2,13,1,11
thyroid,1,5,7,25,16,9,17,4,3,12,18,8,6,19,22,20,21,2,23,10,24,14,11,15,13
vertebral,14,12,10,21,20,16,8,18,9,19,7,13,17,21,21,15,11,5,21,4,6,2,3,1,21
vowels,15,14,13,1,20,16,10,19,12,18,9,23,21,2,24,17,22,8,25,6,3,11,7,4,5
waveform,6,7,4,11,5,21,1,9,3,20,2,22,17,18,25,19,23,15,24,14,12,10,16,8,13
wbc,4,3,12,23,5,6,22,8,9,11,19,10,7,16,25,14,20,15,24,21,13,2,18,1,17
wdbc,11,5,15,23,7,20,3,17,9,18,4,19,8,21,25,6,22,16,24,13,14,1,10,2,12
wilt,12,17,13,21,19,16,8,14,10,15,9,5,20,21,21,18,11,3,21,1,4,7,2,6,21
wine,14,11,9,21,18,20,10,13,7,17,8,12,15,22,23,16,19,5,24,1,2,6,4,6,3
wpbc,15,16,12,24,18,20,14,11,9,19,13,10,17,25,22,3,21,8,23,4,7,2,6,1,5
yeast,24,17,1,23,25,19,9,22,18,16,11,21,20,15,7,12,4,6,8,3,10,5,14,2,13
yelp,8,6,5,20,9,14,3,10,1,15,2,4,13,20,20,19,20,12,20,16,7,18,11,17,20
MNIST-C,13,11,10,19,18,18,1,15,9,16,2,14,12,19,19,17,19,3,19,4,6,8,5,7,19
FashionMNIST,13,11,10,19,18,18,1,17,8,15,2,14,12,19,19,16,19,9,19,6,5,4,7,3,19
CIFAR10,12,7,6,20,19,17,2,16,8,15,1,11,9,20,20,18,20,10,20,5,4,14,3,13,20
SVHN,13,10,11,19,18,18,2,15,7,16,3,14,12,19,19,17,19,1,19,4,5,9,6,8,19
MVTec-AD,13,14,12,19,18,18,10,16,9,17,11,8,15,19,19,4,19,6,19,3,7,2,5,1,19
20news,13,12,11,20,19,16,8,18,10,17,9,4,15,20,20,14,20,7,20,3,1,5,2,6,20
agnews,13,12,9,20,18,17,1,16,4,14,2,3,15,20,20,19,20,5,20,6,7,11,8,10,20
