,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
satellite,14,13,16,23,21,22,5,1,10,15,4,17,18,24,19,12,11,20,6,9,2,7,3,8
satimage-2,4,3,2,21,12,13,9,10,4,6,11,1,8,19,20,15,15,22,18,14,7,16,5,17
shuttle,9,10,11,19,12,15,18,14,4,17,3,16,13,20,21,5,7,22,8,6,2,6,1,6
skin,8,7,6,20,18,17,11,13,1,14,10,9,16,20,20,15,2,20,3,4,19,5,12,20
smtp,8,1,1,9,8,1,8,8,1,6,2,8,1,9,9,5,3,9,1,1,7,1,4,1
spambase,7,10,9,21,16,18,17,13,3,15,14,12,11,20,23,19,6,22,4,5,8,2,1,3
speech,2,3,7,7,3,3,3,1,3,6,3,6,3,1,8,6,5,8,4,4,6,4,6,3
stamps,11,8,7,23,6,18,4,17,3,16,5,22,14,24,20,19,12,21,13,9,2,10,1,15
thyroid,1,4,6,22,20,13,19,2,4,8,15,7,5,18,16,9,3,17,10,21,14,11,12,19
vertebral,14,11,9,20,19,16,7,17,10,18,8,12,15,20,20,13,4,20,5,6,2,3,1,20
vowels,16,11,15,2,20,13,8,19,12,18,10,21,17,1,21,14,7,21,6,3,12,5,9,4
waveform,15,13,4,14,16,18,1,17,3,19,2,16,16,13,21,8,12,20,7,10,5,11,6,9
wbc,4,3,8,20,6,6,19,7,5,10,18,9,3,13,21,11,14,21,16,12,2,17,1,15
wdbc,11,6,13,22,7,20,3,17,9,19,4,18,8,21,22,5,14,22,16,15,1,12,2,10
wilt,12,14,14,18,13,10,5,17,11,15,7,9,13,18,18,16,8,18,3,6,1,4,2,18
wine,14,11,10,20,18,19,8,12,7,17,9,15,16,21,21,13,6,21,1,4,3,5,3,2
wpbc,15,20,11,23,22,19,14,10,9,16,12,13,21,24,18,3,8,17,7,4,1,6,2,5
yeast,19,15,1,18,22,16,9,20,14,13,8,17,21,15,12,7,4,11,2,10,5,9,3,6
yelp,7,8,12,18,6,13,1,5,3,11,2,14,5,18,18,16,10,18,15,9,17,4,17,18
MNIST-C,15,11,10,19,18,18,1,17,9,13,2,16,12,19,19,14,5,19,8,6,4,7,3,19
FashionMNIST,15,10,9,19,18,18,1,17,6,13,2,16,12,19,19,14,11,19,8,5,4,7,3,19
CIFAR10,14,8,5,20,19,18,1,17,7,12,2,15,9,20,20,16,10,20,6,3,13,4,11,20
SVHN,13,11,10,19,18,18,3,17,9,15,8,16,12,19,19,14,1,19,4,2,7,5,6,19
MVTec-AD,13,14,12,19,16,16,9,17,10,18,11,8,15,19,19,7,6,19,3,5,2,4,1,19
20news,16,13,11,20,14,15,4,19,9,18,3,10,17,20,20,12,7,20,5,1,8,2,6,20
agnews,14,11,10,19,16,17,2,17,7,12,1,13,15,19,19,18,5,19,3,6,8,4,9,19
